age,ethnicity,ethnicity_confidence,gender,gender_confidence,human_confidence,tag_location,url,user
0-12,white,98,male,96,99,"[31, 36, 37, 37]",6272,79
30-39,white,93,female,97,96,"[55, 57, 10, 10]",8930,79
30-39,white,82,female,99,89,"[74, 56, 8, 8]",8930,79
20-29,white,95,female,99,99,"[27, 22, 25, 25]",3287,79
30-39,white,66,female,98,98,"[50, 30, 25, 25]",3287,79
30-39,white,87,female,99,99,"[33, 21, 12, 12]",2359,79
30-39,white,83,female,99,99,"[4, 21, 15, 15]",2359,79
20-29,white,88,female,99,99,"[78, 16, 14, 15]",2359,79
30-39,white,85,female,99,98,"[58, 27, 12, 12]",2359,79
30-39,hispanic or latino,60,female,99,97,"[67, 19, 7, 7]",8053,79
20-29,white,99,female,52,98,"[52, 44, 8, 8]",7305,12
20-29,white,91,female,99,99,"[48, 29, 6, 6]",8111,12
13-19,asian,68,female,99,99,"[45, 35, 12, 12]",1890,12
20-29,white,82,female,99,97,"[17, 16, 14, 15]",1890,12
30-39,asian,61,female,99,99,"[37, 42, 6, 6]",11680,12
30-39,white,66,female,98,99,"[49, 38, 7, 7]",11680,12
30-39,white,82,male,99,99,"[23, 31, 7, 7]",11680,12
20-29,white,87,male,99,99,"[70, 31, 7, 7]",11680,12
30-39,white,99,female,99,94,"[61, 42, 7, 7]",11680,12
30-39,white,77,male,83,72,"[20, 34, 4, 5]",1824,98
13-19,white,99,female,98,99,"[9, 34, 8, 8]",14820,12
13-19,white,97,female,99,99,"[23, 32, 8, 8]",14820,12
20-29,white,99,female,99,99,"[12, 26, 30, 30]",1747,12
20-29,white,92,female,99,99,"[47, 19, 31, 31]",1747,12
20-29,white,95,female,99,99,"[77, 39, 17, 18]",8838,12
20-29,white,95,female,95,98,"[26, 58, 10, 10]",3561,12
13-19,white,99,female,99,95,"[12, 61, 8, 8]",3561,12
20-29,white,99,female,99,99,"[65, 16, 25, 25]",14854,12
30-39,white,99,female,99,90,"[16, 16, 31, 31]",14854,12
20-29,white,99,female,92,93,"[40, 22, 53, 42]",80,12
20-29,white,99,female,98,75,"[9, 37, 31, 24]",80,12
50-59,white,88,male,93,68,"[47, 33, 8, 8]",4912,12
40-49,white,99,female,98,51,"[53, 25, 25, 25]",8038,12
