user,url
79,8781
79,13613
79,8231
79,11487
79,13493
79,6009
79,7584
79,7046
79,9299
79,14532
79,12901
79,1649
79,11085
79,11324
79,13101
79,10524
79,9450
79,12981
79,2743
79,7735
79,13938
79,4256
79,9429
79,2208
79,2094
79,6596
79,3661
79,12918
79,5059
79,4172
79,8605
79,8640
79,2929
79,978
79,12356
79,789
79,1329
79,9071
79,14478
79,14115
79,3380
79,13093
79,6857
79,6216
79,1900
79,6791
79,4445
79,8930
79,8053
79,2359
79,6272
79,3287
79,4323
79,4467
79,9372
79,11246
79,9288
79,9622
79,10133
79,6261
79,5340
79,2459
79,13102
79,5576
79,4842
79,517
79,3607
12,13548
12,3966
12,3601
12,7874
12,2353
12,10954
12,13740
12,4333
12,8038
12,7567
12,4912
12,89
12,14854
12,80
12,4464
12,6556
12,2891
12,13343
12,1477
12,7674
12,772
12,4376
12,13492
12,6377
12,8247
12,4273
12,7305
12,12556
12,8890
12,1087
12,8001
12,8111
12,10038
12,7165
12,10215
12,4456
12,12698
12,13426
12,11184
12,13279
12,3430
12,5682
12,593
12,10403
12,2747
12,8777
12,13494
12,13577
12,11221
12,7344
12,2804
12,14849
12,4015
12,2946
12,9096
12,514
12,1678
12,10910
12,11854
12,5879
12,5002
12,5961
12,11397
12,100
12,4386
12,4044
12,7173
12,8424
12,18
12,4291
12,5469
12,12681
12,2196
12,11360
12,1820
12,9303
12,13616
12,7061
12,10242
12,14510
12,1747
12,4820
12,2839
12,14820
12,6610
12,3561
12,2489
12,5307
12,6179
12,10099
12,9504
12,11861
12,9025
12,581
12,9892
12,8616
12,7845
12,6255
12,7296
12,13623
12,5553
12,7633
12,2464
12,6326
12,13260
12,1573
12,10322
12,3307
12,12352
12,8838
12,11150
12,5511
12,13939
12,4923
12,943
12,9043
12,12667
12,11515
12,4633
12,13132
12,764
12,6489
12,2964
12,6685
12,9391
12,12862
12,171
12,1890
12,11680
12,12193
12,4961
12,4594
12,8595
12,9559
12,11433
12,10768
12,13661
12,9059
12,13169
12,12291
12,387
12,975
12,7962
12,5727
12,11015
12,10690
12,11838
12,5501
12,13684
12,5603
98,6462
98,1366
98,1824
98,14907
98,11244
98,448
98,11784
98,8884
98,1034
98,1346
98,9590
98,10180
98,13161
98,7569
98,2303
98,123
98,14138
98,13471
98,14007
98,11914
98,14164
98,14815
98,3451
98,7230
98,9610
98,12350
98,1564
98,11820
98,4618
98,12115
98,4908
98,2105
98,14395
98,7261
98,6739
98,5094
98,14498
98,10712
98,1036
98,9605
98,5233
98,14414
98,6835
98,8445
98,1798
98,78
98,11339
98,3050
98,7473
98,43
98,1692
98,13116
98,2822
98,1050
98,11168
98,14312
98,1797
98,47
98,11490
98,11569
98,11185
98,14183
98,13479
98,924
98,7766
98,6668
98,12713
98,8758
98,11520
98,234
98,2393
98,14060
98,10023
98,12684
98,2427
98,8284
98,13374
98,9583
98,13061
98,2720
98,10849
98,12887
98,7981
98,1866
98,4638
98,2744
98,1968
98,1772
98,2025
98,540
98,4405
98,6309
98,3228
98,5271
98,3673
98,13413
98,13477
98,4451
98,4339
98,4096
98,8346
98,6409
98,4041
98,14279
98,11963
98,2813
98,2931
98,7293
98,3869
98,11779
98,10631
98,8036
98,9347
98,12662
98,13944
98,1433
98,13491
98,10583
98,1115
98,4702
98,10632
98,416
98,5585
98,13792
98,1324
98,6616
98,7914
98,1731
98,13301
59,6598
59,8657
59,3262
59,13125
59,2148
59,14286
59,10983
59,11801
59,12126
59,9197
59,9755
59,6839
59,10142
59,9044
59,9124
59,10031
59,6662
59,6038
59,12310
59,2248
59,7464
59,6654
59,2990
59,5128
59,12407
59,11393
59,8344
59,3516
59,6573
59,6270
59,1339
59,6740
59,9313
59,12541
59,155
59,2394
59,926
59,5312
59,7475
59,4558
59,10401
59,1059
59,5775
59,13377
59,9762
59,7708
59,12102
59,11409
59,12132
59,2429
59,2035
59,2854
59,11206
59,9752
59,7333
59,11401
59,6813
59,6903
59,5213
59,6315
59,6175
59,12206
59,5444
59,8742
59,512
59,9055
59,9777
59,13620
59,5641
59,7868
59,14538
59,14470
59,6123
59,11455
59,5850
59,5573
59,10120
59,8045
59,8360
59,14423
59,7690
59,6025
59,481
59,14391
59,9907
59,8103
59,768
59,4668
59,8825
59,9278
59,8373
59,13016
59,3832
59,953
59,4404
59,5216
59,8292
59,10003
59,4379
59,4927
59,10778
59,3148
59,12457
59,698
59,11505
59,2579
59,12660
59,5170
59,6564
59,9348
59,14458
59,10195
59,14231
59,2591
59,9742
59,9731
59,6850
59,406
59,6003
59,6037
59,6208
59,8529
59,7161
59,11392
59,13698
59,2261
59,13861
59,14922
59,799
59,4608
59,5030
59,7446
59,5801
59,10306
59,14285
59,9865
59,7710
59,10407
59,6964
59,14897
59,11350
59,8302
59,14655
59,14887
59,14543
59,13713
59,11361
59,6630
59,1516
59,12953
96,6604
96,2144
96,11180
96,3405
96,12175
96,8358
96,14197
96,13462
96,5492
96,800
96,1884
96,7413
96,7667
96,921
96,2689
96,4909
96,7019
96,12724
96,1362
96,413
96,4859
96,2380
96,1424
96,8225
96,6075
96,2621
96,8455
96,7322
96,987
96,6779
96,11082
96,6077
96,4877
96,6239
96,11821
96,8638
96,8866
96,8248
96,4133
96,14393
96,4123
96,9230
96,11693
96,5518
96,3008
96,13407
96,6834
96,12709
96,3672
96,9522
96,7203
96,3418
96,622
96,5238
96,8939
96,8031
96,12701
96,2530
96,11755
96,12736
96,6646
96,1926
96,13660
96,6728
96,9761
96,5554
96,14456
96,1491
96,10826
96,1556
96,352
96,3657
96,3880
96,12717
96,5559
96,11591
96,7912
96,239
96,10953
96,8709
96,5926
96,4146
96,8741
96,6183
96,9803
96,5044
96,13290
96,3489
96,3591
96,6741
96,4818
96,10722
96,12469
96,3280
96,9857
96,2458
96,8055
96,248
96,3037
96,5228
96,675
96,323
96,6996
96,1922
96,6943
96,637
96,3984
96,8021
96,15057
96,7509
96,14029
96,9188
96,3726
96,4985
96,13123
96,12427
96,5594
96,3552
96,3756
96,5551
96,3812
96,2884
96,9187
96,13601
96,2246
96,6780
96,13059
96,14945
96,10514
96,10288
96,2287
96,4651
96,7898
96,14910
96,8832
96,12483
96,2753
96,14113
96,8223
96,798
96,4336
96,10135
96,726
96,10088
96,4009
96,13126
96,9802
96,3131
96,14716
96,2114
38,3771
38,3970
38,13345
38,4354
38,11027
38,12644
38,1971
38,7657
38,11277
38,9193
38,6800
38,7757
38,5080
38,5617
38,1062
38,9093
38,14940
38,11897
38,8174
38,7816
38,7435
38,9165
38,12341
38,12597
38,8566
38,11570
38,9447
38,2759
38,14120
38,8650
38,8633
38,4257
38,3206
38,5137
